ID	Year	LocationAbbr	LocationDesc	Class	Topic	Indicator	Response	DataSource	Data_Value_Unit	Data_Value_Type	Data_Value	Data_Value_Footnote_Symbol	Data_Value_Footnote	Low_Confidence_Limit	High_Confidence_Limit	Sample_Size	Stratification	StratificationType	IndicatorId	LocationOrder	ParentStateDisplayOrder	FootnoteType	FootNoteSymbol	FootnoteText	URL	DatasourceAbbr	Agency
1918913	2011	US	"All States, DC and Territories (median) **"	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9.5					53	Overall	Overall	DIABETE3	1	1						
1918490	2011	UW	All States and DC (median) **	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9.5					51	Overall	Overall	DIABETE3	2	2						
1774403	2011	AL	Alabama	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	11.8			10.9	12.7	1215	Overall	Overall	DIABETE3	3	3						
1777106	2011	AK	Alaska	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	7.9			6.5	9.2	301	Overall	Overall	DIABETE3	4	4						
1779820	2011	AZ	Arizona	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9.5			8.3	10.7	808	Overall	Overall	DIABETE3	5	5						
1781803	2011	AR	Arkansas	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	11.2			10	12.3	739	Overall	Overall	DIABETE3	6	6						
1785435	2011	CA	California	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.9			8.3	9.5	1823	Overall	Overall	DIABETE3	7	7						
1788212	2011	CO	Colorado	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	6.7			6.1	7.3	1212	Overall	Overall	DIABETE3	8	8						
1790455	2011	CT	Connecticut	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9.3			8.5	10.2	753	Overall	Overall	DIABETE3	9	9						
1793020	2011	DE	Delaware	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9.7			8.6	10.8	602	Overall	Overall	DIABETE3	10	10						
1795698	2011	DC	District of Columbia	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9.1			8	10.3	541	Overall	Overall	DIABETE3	11	11						
1798573	2011	FL	Florida	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	10.4			9.7	11.1	1760	Overall	Overall	DIABETE3	12	12						
1801851	2011	GA	Georgia	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	10.2			9.4	10.9	1482	Overall	Overall	DIABETE3	13	13						
1804168	2011	HI	Hawaii	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.4			7.6	9.2	824	Overall	Overall	DIABETE3	14	14						
1806709	2011	ID	Idaho	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9.4			8.4	10.4	767	Overall	Overall	DIABETE3	15	15						
1810045	2011	IL	Illinois	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9.7			8.6	10.8	693	Overall	Overall	DIABETE3	16	16						
1812784	2011	IN	Indiana	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	10.2			9.4	11	1181	Overall	Overall	DIABETE3	17	17						
1815011	2011	IA	Iowa	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.2			7.5	8.9	801	Overall	Overall	DIABETE3	18	18						
1818239	2011	KS	Kansas	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9.5			9.1	10	2584	Overall	Overall	DIABETE3	19	19						
1820846	2011	KY	Kentucky	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	10.8			10	11.6	1742	Overall	Overall	DIABETE3	20	20						
1823229	2011	LA	Louisiana	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	11.8			11	12.6	1716	Overall	Overall	DIABETE3	21	21						
1826027	2011	ME	Maine	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9.6			9	10.2	1532	Overall	Overall	DIABETE3	22	22						
1828614	2011	MD	Maryland	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9.5			8.7	10.2	1213	Overall	Overall	DIABETE3	23	23						
1831997	2011	MA	Massachusetts	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8			7.5	8.5	2561	Overall	Overall	DIABETE3	24	24						
1833718	2011	MI	Michigan	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	10			9.2	10.7	1475	Overall	Overall	DIABETE3	25	25						
1837292	2011	MN	Minnesota	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	7.3			6.7	7.8	1317	Overall	Overall	DIABETE3	26	26						
1839561	2011	MS	Mississippi	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	12.4			11.6	13.2	1565	Overall	Overall	DIABETE3	27	27						
1842472	2011	MO	Missouri	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	10.2			9.3	11.2	881	Overall	Overall	DIABETE3	28	28						
1845134	2011	MT	Montana	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8			7.2	8.7	1020	Overall	Overall	DIABETE3	29	29						
1848267	2011	NE	Nebraska	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.4			7.9	8.8	2842	Overall	Overall	DIABETE3	30	30						
1850785	2011	NV	Nevada	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	10.3			8.8	11.8	562	Overall	Overall	DIABETE3	31	31						
1854030	2011	NH	New Hampshire	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.6			7.9	9.4	772	Overall	Overall	DIABETE3	32	32						
1855728	2011	NJ	New Jersey	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.8			8.2	9.4	1741	Overall	Overall	DIABETE3	33	33						
1858640	2011	NM	New Mexico	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	10			9.2	10.7	1198	Overall	Overall	DIABETE3	34	34						
1862156	2011	NY	New York	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	10.5			9.6	11.3	888	Overall	Overall	DIABETE3	35	35						
1864712	2011	NC	North Carolina	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	10.9			10.1	11.7	1616	Overall	Overall	DIABETE3	36	36						
1866723	2011	ND	North Dakota	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.2			7.4	9	554	Overall	Overall	DIABETE3	37	37						
1870200	2011	OH	Ohio	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	10			9.3	10.8	1308	Overall	Overall	DIABETE3	38	38						
1873095	2011	OK	Oklahoma	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	11.1			10.3	11.9	1251	Overall	Overall	DIABETE3	39	39						
1874735	2011	OR	Oregon	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9.3			8.4	10.2	699	Overall	Overall	DIABETE3	40	40						
