ID	Year	LocationAbbr	LocationDesc	Class	Topic	Indicator	Response	DataSource	Data_Value_Unit	Data_Value_Type	Data_Value	Data_Value_Footnote_Symbol	Data_Value_Footnote	Low_Confidence_Limit	High_Confidence_Limit	Sample_Size	Stratification	StratificationType	IndicatorId	LocationOrder	ParentStateDisplayOrder	FootnoteType	FootNoteSymbol	FootnoteText	URL	DatasourceAbbr	Agency
5073	2010	US	"All States, DC and Territories (median) **"	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.7	**	Median value reported with no confidence intervals			54	Overall	Overall	DIABETE2	1	1						
4982	2010	UW	All States and DC (median) **	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.7	**	Median value reported with no confidence intervals			51	Overall	Overall	DIABETE2	2	2						
927	2010	AL	Alabama	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	13.2			12.2	14.2	1281	Overall	Overall	DIABETE2	3	3						
2923	2010	AK	Alaska	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	5.3			3.9	6.6	134	Overall	Overall	DIABETE2	4	4						
5983	2010	AZ	Arizona	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9			7.8	10.2	753	Overall	Overall	DIABETE2	5	5						
7305	2010	AR	Arkansas	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	9.6			8.6	10.7	622	Overall	Overall	DIABETE2	6	6						
10356	2010	CA	California	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.6			8.1	9.1	1918	Overall	Overall	DIABETE2	7	7						
12782	2010	CO	Colorado	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	6			5.5	6.5	986	Overall	Overall	DIABETE2	8	8						
15664	2010	CT	Connecticut	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	7.3			6.5	8.1	715	Overall	Overall	DIABETE2	9	9						
17285	2010	DE	Delaware	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.7			7.7	9.7	540	Overall	Overall	DIABETE2	10	10						
20071	2010	DC	District of Columbia	Chronic Health Indicators	Diabetes	Have you ever been told by a doctor that you have diabetes?	Yes	BRFSS	%	Crude Prevalence	8.3			7.3	9.3	411	Overall	Overall	DIABETE2	11	11						
