"ID";"Year";"LocationAbbr";"LocationDesc";"Class";"Topic";"Indicator";"Response";"DataSource";"Data_Value_Unit";"Data_Value_Type";"Data_Value";"Data_Value_Footnote_Symbol";"Data_Value_Footnote";"Low_Confidence_Limit";"High_Confidence_Limit";"Sample_Size";"Stratification";"StratificationType";"IndicatorId";"LocationOrder";"ParentStateDisplayOrder";"FootnoteType";"FootNoteSymbol";"FootnoteText";"URL";"DatasourceAbbr";"Agency"
"766196";"2004";"AL";"Alabama";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"15.3";"";"";"12.1";"18.5";"104";"Less than $15,000";"Household Income";"DIABETE2";"3";"3";"";"";"";"";"";""
"766197";"2004";"AL";"Alabama";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"9.3";"";"";"6.9";"11.7";"73";"$15,000-$24,999";"Household Income";"DIABETE2";"3";"3";"";"";"";"";"";""
"766198";"2004";"AL";"Alabama";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"6.3";"";"";"4.1";"8.5";"39";"$25,000-$34,999";"Household Income";"DIABETE2";"3";"3";"";"";"";"";"";""
"766199";"2004";"AL";"Alabama";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"5.9";"";"";"3.9";"7.9";"40";"$35,000-$49,999";"Household Income";"DIABETE2";"3";"3";"";"";"";"";"";""
"766200";"2004";"AL";"Alabama";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"5.2";"";"";"3.7";"6.7";"55";"$50,000+";"Household Income";"DIABETE2";"3";"3";"";"";"";"";"";""
"767349";"2004";"AK";"Alaska";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"10.2";"";"";"3.7";"16.7";"22";"Less than $15,000";"Household Income";"DIABETE2";"4";"4";"";"";"";"";"";""
"767350";"2004";"AK";"Alaska";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"4.5";"";"";"2.1";"6.9";"22";"$15,000-$24,999";"Household Income";"DIABETE2";"4";"4";"";"";"";"";"";""
"767351";"2004";"AK";"Alaska";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.3";"";"";"0.0";"4.5";"9";"$25,000-$34,999";"Household Income";"DIABETE2";"4";"4";"";"";"";"";"";""
"767352";"2004";"AK";"Alaska";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"4.3";"";"";"1.9";"6.7";"22";"$35,000-$49,999";"Household Income";"DIABETE2";"4";"4";"";"";"";"";"";""
"767353";"2004";"AK";"Alaska";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.4";"";"";"1.9";"4.9";"37";"$50,000+";"Household Income";"DIABETE2";"4";"4";"";"";"";"";"";""
"769883";"2004";"AZ";"Arizona";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"7.9";"";"";"3.8";"12.0";"66";"Less than $15,000";"Household Income";"DIABETE2";"5";"5";"";"";"";"";"";""
"769884";"2004";"AZ";"Arizona";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"8.8";"";"";"5.9";"11.7";"100";"$15,000-$24,999";"Household Income";"DIABETE2";"5";"5";"";"";"";"";"";""
"769885";"2004";"AZ";"Arizona";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"7.5";"";"";"4.2";"10.8";"52";"$25,000-$34,999";"Household Income";"DIABETE2";"5";"5";"";"";"";"";"";""
"769886";"2004";"AZ";"Arizona";"Chronic Health Indicators";"Diabetes";"Have you ever been told by a doctor that you have diabetes?";"Yes";"BRFSS";"%";"Crude Prevalence";"6.3";"";"";"3.2";"9.4";"53";"$35,000-$49,999";"Household Income";"DIABETE2";"5";"5";"";"";"";"";"";""
